"node i","node j","query","t0","t1","t2"
"ua51","oa51","SELECT * FROM ""oa51"" WHERE  data < 117 ORDER BY desc LIMIT 100","19206711071293","19206711724418","19206712347094"
"ua51","oa52","SELECT * FROM ""oa52"" WHERE  data < 342 ORDER BY desc LIMIT 100","19206712387303","19206713076235","19206713614745"
"ua51","oa53","SELECT * FROM ""oa53"" WHERE  data < 457 ORDER BY desc LIMIT 100","19206713646620","19206714026455","19206714420037"
"ua52","oa52","SELECT * FROM ""oa52"" WHERE  data < 70 ORDER BY desc LIMIT 100","19206714459934","19206714869916","19206715289866"
"ua52","oa53","SELECT * FROM ""oa53"" WHERE  data < 428 ORDER BY desc LIMIT 100","19206715319428","19206715722961","19206716416829"
"ua52","oa54","SELECT * FROM ""oa54"" WHERE  data < 429 ORDER BY desc LIMIT 100","19206716465713","19206717184917","19206717912687"
"ua53","oa53","SELECT * FROM ""oa53"" WHERE  data < 486 ORDER BY desc LIMIT 100","19206717960532","19206718668782","19206719380283"
"ua53","oa54","SELECT * FROM ""oa54"" WHERE  data < 333 ORDER BY desc LIMIT 100","19206719425980","19206720131984","19206720769304"
"ua53","oa55","SELECT * FROM ""oa55"" WHERE  data < 67 ORDER BY desc LIMIT 100","19206720805552","19206721488854","19206722222088"
"ua54","oa54","SELECT * FROM ""oa54"" WHERE  data < 10 ORDER BY desc LIMIT 100","19206722252162","19206722661005","19206723126105"
"ua54","oa55","SELECT * FROM ""oa55"" WHERE  data < 2 ORDER BY desc LIMIT 100","19206723154579","19206723551012","19206723973276"
"ua54","oa56","SELECT * FROM ""oa56"" WHERE  data < 192 ORDER BY desc LIMIT 100","19206724011318","19206724415119","19206724880651"
"ua55","oa55","SELECT * FROM ""oa55"" WHERE  data < 317 ORDER BY desc LIMIT 100","19206724904910","19206725301006","19206725648867"
"ua55","oa56","SELECT * FROM ""oa56"" WHERE  data < 295 ORDER BY desc LIMIT 100","19206725672160","19206726062379","19206726434943"
"ua55","oa57","SELECT * FROM ""oa57"" WHERE  data < 250 ORDER BY desc LIMIT 100","19206726474720","19206726985054","19206727368761"
"ua56","oa56","SELECT * FROM ""oa56"" WHERE  data < 5 ORDER BY desc LIMIT 100","19206727398204","19206727787083","19206728156526"
"ua56","oa57","SELECT * FROM ""oa57"" WHERE  data < 383 ORDER BY desc LIMIT 100","19206728180439","19206728580307","19206728931460"
"ua56","oa58","SELECT * FROM ""oa58"" WHERE  data < 384 ORDER BY desc LIMIT 100","19206728960051","19206729357610","19206729886915"
"ua57","oa57","SELECT * FROM ""oa57"" WHERE  data < 49 ORDER BY desc LIMIT 100","19206729928711","19206730620092","19206731210667"
"ua57","oa58","SELECT * FROM ""oa58"" WHERE  data < 1 ORDER BY desc LIMIT 100","19206731246335","19206731923118","19206732708493"
"ua57","oa59","SELECT * FROM ""oa59"" WHERE  data < 317 ORDER BY desc LIMIT 100","19206732757381","19206733470079","19206734221715"
"ua58","oa58","SELECT * FROM ""oa58"" WHERE  data < 31 ORDER BY desc LIMIT 100","19206734278955","19206735000037","19206735708225"
"ua58","oa59","SELECT * FROM ""oa59"" WHERE  data < 149 ORDER BY desc LIMIT 100","19206735751680","19206736338532","19206736849013"
"ua58","oa60","SELECT * FROM ""oa60"" WHERE  data < 179 ORDER BY desc LIMIT 100","19206736877969","19206737273826","19206737661910"
"ua59","oa59","SELECT * FROM ""oa59"" WHERE  data < 155 ORDER BY desc LIMIT 100","19206737684598","19206738077176","19206738435345"
"ua59","oa60","SELECT * FROM ""oa60"" WHERE  data < 28 ORDER BY desc LIMIT 100","19206738465123","19206738921298","19206739292066"
"ua59","oa61","SELECT * FROM ""oa61"" WHERE  data < 244 ORDER BY desc LIMIT 100","19206739328375","19206739839866","19206740214818"
"ua60","oa60","SELECT * FROM ""oa60"" WHERE  data < 142 ORDER BY desc LIMIT 100","19206740238553","19206740642572","19206740981102"
"ua60","oa61","SELECT * FROM ""oa61"" WHERE  data < 461 ORDER BY desc LIMIT 100","19206741005483","19206741397505","19206741730733"
"ua60","oa62","SELECT * FROM ""oa62"" WHERE  data < 303 ORDER BY desc LIMIT 100","19206741753567","19206742151155","19206742476011"
"ua61","oa61","SELECT * FROM ""oa61"" WHERE  data < 261 ORDER BY desc LIMIT 100","19206742497149","19206742884599","19206743211411"
"ua61","oa62","SELECT * FROM ""oa62"" WHERE  data < 192 ORDER BY desc LIMIT 100","19206743231593","19206743616237","19206743965573"
"ua61","oa63","SELECT * FROM ""oa63"" WHERE  data < 331 ORDER BY desc LIMIT 100","19206743987930","19206744413103","19206744812537"
"ua62","oa62","SELECT * FROM ""oa62"" WHERE  data < 11 ORDER BY desc LIMIT 100","19206744838362","19206745236674","19206745587947"
"ua62","oa63","SELECT * FROM ""oa63"" WHERE  data < 465 ORDER BY desc LIMIT 100","19206745660852","19206746069978","19206746756156"
"ua62","oa64","SELECT * FROM ""oa64"" WHERE  data < 92 ORDER BY desc LIMIT 100","19206746794162","19206747241711","19206747737841"
"ua63","oa63","SELECT * FROM ""oa63"" WHERE  data < 478 ORDER BY desc LIMIT 100","19206747764880","19206748180485","19206748588382"
"ua63","oa64","SELECT * FROM ""oa64"" WHERE  data < 371 ORDER BY desc LIMIT 100","19206748614980","19206749035400","19206749524522"
"ua63","oa65","SELECT * FROM ""oa65"" WHERE  data < 243 ORDER BY desc LIMIT 100","19206749568987","19206750243150","19206750809491"
"ua64","oa64","SELECT * FROM ""oa64"" WHERE  data < 150 ORDER BY desc LIMIT 100","19206750857774","19206751540778","19206752194318"
"ua64","oa65","SELECT * FROM ""oa65"" WHERE  data < 311 ORDER BY desc LIMIT 100","19206752236860","19206752895918","19206753342810"
"ua64","oa66","SELECT * FROM ""oa66"" WHERE  data < 480 ORDER BY desc LIMIT 100","19206753366966","19206753751059","19206754208251"
"ua65","oa65","SELECT * FROM ""oa65"" WHERE  data < 7 ORDER BY desc LIMIT 100","19206754232447","19206754619726","19206755005419"
"ua65","oa66","SELECT * FROM ""oa66"" WHERE  data < 493 ORDER BY desc LIMIT 100","19206755025730","19206755418017","19206755792273"
"ua65","oa67","SELECT * FROM ""oa67"" WHERE  data < 209 ORDER BY desc LIMIT 100","19206755814320","19206756229687","19206756608151"
"ua66","oa66","SELECT * FROM ""oa66"" WHERE  data < 176 ORDER BY desc LIMIT 100","19206756629208","19206757026271","19206757422485"
"ua66","oa67","SELECT * FROM ""oa67"" WHERE  data < 457 ORDER BY desc LIMIT 100","19206757445163","19206757860736","19206758233513"
"ua66","oa68","SELECT * FROM ""oa68"" WHERE  data < 362 ORDER BY desc LIMIT 100","19206758253727","19206758676025","19206759053411"
"ua67","oa67","SELECT * FROM ""oa67"" WHERE  data < 358 ORDER BY desc LIMIT 100","19206759076322","19206759476512","19206759866267"
"ua67","oa68","SELECT * FROM ""oa68"" WHERE  data < 223 ORDER BY desc LIMIT 100","19206759890970","19206760344565","19206760783087"
"ua67","oa69","SELECT * FROM ""oa69"" WHERE  data < 80 ORDER BY desc LIMIT 100","19206760806929","19206761249487","19206761712957"
"ua68","oa68","SELECT * FROM ""oa68"" WHERE  data < 412 ORDER BY desc LIMIT 100","19206761750772","19206762360629","19206762817703"
"ua68","oa69","SELECT * FROM ""oa69"" WHERE  data < 281 ORDER BY desc LIMIT 100","19206762844047","19206763273426","19206763663522"
"ua68","oa70","SELECT * FROM ""oa70"" WHERE  data < 323 ORDER BY desc LIMIT 100","19206763686486","19206764113043","19206764487695"
"ua69","oa69","SELECT * FROM ""oa69"" WHERE  data < 106 ORDER BY desc LIMIT 100","19206764509432","19206764871131","19206765243145"
"ua69","oa70","SELECT * FROM ""oa70"" WHERE  data < 346 ORDER BY desc LIMIT 100","19206765269652","19206765684566","19206766138901"
"ua69","oa71","SELECT * FROM ""oa71"" WHERE  data < 158 ORDER BY desc LIMIT 100","19206766181168","19206766882953","19206767544027"
"ua70","oa70","SELECT * FROM ""oa70"" WHERE  data < 401 ORDER BY desc LIMIT 100","19206767581965","19206768330399","19206768906204"
"ua70","oa71","SELECT * FROM ""oa71"" WHERE  data < 492 ORDER BY desc LIMIT 100","19206768946902","19206769445186","19206770002306"
